time_from_start,base_x,base_y,base_theta,shoulder_pan_joint,shoulder_lift_joint,arm_elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
4.13,0.4537950473547113,1.4552142215689732,-0.22638256556240563,-0.2826799949513562,-1.5055353976436674,-1.5068920021017749,-0.8038100214823135,0.3630783710975464,3.102836848694496
4.14,0.4532456871877886,1.4549417197068006,-0.22671460551218045,-0.28295357167416146,-1.5056657530444753,-1.5072072532943812,-0.8042372634945013,0.3635064598830006,3.1028807972713053
4.15,0.4527042421080847,1.4546652292847797,-0.22704419286899752,-0.2832231877318943,-1.5057953710790724,-1.5075174344505486,-0.8046596628744195,0.3639301805931982,3.102924013017284
4.16,0.45217024389267707,1.4543847493640003,-0.22737154249538002,-0.28348907685145064,-1.5059243295098708,-1.5078228296906668,-0.8050775453892275,0.36434984549101695,3.1029665363017753
4.17,0.4516432739463342,1.454100279114769,-0.2276968464773741,-0.283751447986665,-1.5060526978557236,-1.5081236930214008,-0.8054912022758979,0.36476573373989096,3.103008403215435
4.18,0.45112295664390667,1.4538118178004473,-0.22802027718048254,-0.28401048864163997,-1.5061805384980242,-1.5084202523753802,-0.805900894873728,0.3651780958444799,3.1030496461442003
4.19,0.45060895376564514,1.4535193647641713,-0.22834198980386355,-0.28426636764851176,-1.506307907605194,-1.5087127129877382,-0.8063068584963324,0.36558715736229835,3.103090294249044
4.2,0.45010095981501813,1.453222919417855,-0.2286621245294077,-0.2845192375046916,-1.5064348559105305,-1.50900126023718,-0.8067093056895489,0.36599312202667783,3.103130373869639
4.21,0.4495986980547476,1.4529224812330241,-0.22898080834111775,-0.2847692363515897,-1.506561429370718,-1.5092860620512585,-0.8071084289895769,0.3663961743906546,3.103169908866113
4.22,0.4491019171316492,1.4526180497331251,-0.2292981565742057,-0.28501648965942056,-1.5066876697265057,-1.509567270954379,-0.8075044032714065,0.36679648207810955,3.103208920910033
4.23,0.4486103881874665,1.4523096244870344,-0.22961427424110525,-0.28526111166941104,-1.5068136149826419,-1.509845025820915,-0.807897387759077,0.36719419771074224,3.1032474297335
4.24,0.4481239023733946,1.451997205103549,-0.2299292571721853,-0.2855032066344963,-1.5069392998207365,-1.5101194533833755,-0.8082875277550403,0.3675894605657809,3.103285453343432
4.25,0.44764226870191237,1.451680791226688,-0.23024319300163676,-0.2857428698916381,-1.5070647559560848,-1.5103906695358988,-0.8086749561348182,0.367982398008708,3.103323008206772
4.26,0.4471653121820297,1.4513603825316623,-0.23055616202327314,-0.28598018879266895,-1.5071900124474076,-1.510658780465776,-0.8090597946444568,0.3683731267369494,3.103360109411259
4.27,0.44669287219390774,1.4510359787214058,-0.23086823793646205,-0.2862152435156467,-1.5073150959668247,-1.5109238836397276,-0.8094421550314227,0.36876175386390553,3.1033967708055634
4.28,0.44622480106664614,1.4507075795235733,-0.23117948849880743,-0.2864481077747921,-1.5074400310360765,-1.5111860686668994,-0.8098221400341358,0.36914837786747406,3.1034330051219063
4.29,0.44576096282930733,1.450375184687934,-0.2314899760993214,-0.28667884944395094,-1.5075648402339692,-1.5114454180567423,-0.8101998442509635,0.36953308942302876,3.1034688240837407
4.3,0.4453012321102995,1.4500387939841,-0.23179975826350502,-0.2869075311059983,-1.5076895443791745,-1.5117020078868681,-0.810575354905989,0.3699159721374473,3.103504238500646
4.31,0.44484549316433786,1.4496984071995367,-0.23210888809987618,-0.2871342105385585,-1.5078141626918364,-1.5119559083934937,-0.8109487525260108,0.37029710319804976,3.10353925835222
4.32,0.44439363900954454,1.4493540241378178,-0.23241741469595004,-0.2873589411447466,-1.5079387129368853,-1.5122071844950509,-0.8113201115409104,0.3706765539480795,3.1035738928624776
4.33,0.44394557065997997,1.4490056446170865,-0.23272538347042188,-0.2875817723362723,-1.5080632115514971,-1.512455896257893,-0.8116895008176197,0.371054390398536,3.1036081505660182
4.34,0.4435011964411588,1.4486532684686984,-0.23303283648726547,-0.28780274987511983,-1.508187673758772,-1.512702099311643,-0.8120569841363504,0.3714306736846612,3.1036420393670445
4.35,0.4430604313779625,1.4482968955360145,-0.23333981273660676,-0.288021916179089,-1.5083121136693851,-1.5129458452206141,-0.8124226206164514,0.37180546047414254,3.1036755665921314
4.36,0.4426231966459175,1.4479365256733336,-0.23364634838651757,-0.28823931059570546,-1.5084365443727148,-1.5131871818167801,-0.8127864650981782,0.37217880333305375,3.1037087390375406
4.37,0.44218941907809917,1.4475721587449368,-0.2339524770092818,-0.2884549696483637,-1.5085609780187303,-1.5134261534989892,-0.8131485684857594,0.37255075105469865,3.1037415630117318
4.38,0.44175903072101186,1.4472037946242358,-0.23425822978518612,-0.2886689272580226,-1.5086854258917466,-1.513662801502463,-0.8135089780563887,0.3729213489557902,3.103774044373656
4.39,0.4413319684337065,1.4468314331930097,-0.23456363568646882,-0.28888121494331753,-1.5088098984769955,-1.5138971641420558,-0.813867737739132,0.37329063914379473,3.1038061885673183
4.4,0.4409081735251731,1.446455074340721,-0.2348687216437035,-0.2890918620015658,-1.5089344055208431,-1.5141292770322907,-0.8142248883672059,0.37365866075874815,3.103838000653043
4.41,0.44048759142569915,1.4460747179638975,-0.23517351269659734,-0.2893008956728183,-1.5090589560853627,-1.5143591732867836,-0.8145804679066239,0.3740254501924217,3.1038694853358084
4.42,0.4400701713884445,1.4456903639655783,-0.23547803213092217,-0.28950834128882685,-1.5091835585978923,-1.5145868836993317,-0.8149345116638187,0.3743910412873348,3.1039006469909767
4.43,0.43965586621795893,1.4453020122548104,-0.2357823016030827,-0.28971422240856237,-1.509308220896116,-1.5148124369086549,-0.8152870524745203,0.3747554655178,3.1039314896877017
