Data_0,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8
-0.04803833643393829,1.155287578436591,0.3504284909838274,1.8142350094935669,-0.17054584983873944,-1.1218483545708087,0.6811440910501826,1.567919217097106,-1.4177404096678785
-0.046686625832825124,1.1534891799708327,0.3508230054273848,1.8145189882702581,-0.16974866171777392,-1.120602122537257,0.6819732323544438,1.567848710190475,-1.41937532967312
-0.04534173637347738,1.1517055953285709,0.3512156613934225,1.814801636086145,-0.16895548459213972,-1.1193617782351437,0.6827982477369081,1.5677782790458468,-1.4210017982319985
-0.04400367292640195,1.1499365884697699,0.3516064536363065,1.8150825485452848,-0.16816626822453273,-1.118127977230386,0.6836191461322286,1.5677083876811067,-1.4226202167882163
-0.04267243999047188,1.1481819345662956,0.35199533039791264,1.8153622756937036,-0.16738105828723682,-1.116899941099779,0.6844358892890046,1.5676385428401294,-1.4242305001003193
-0.041348041383247214,1.1464414194693502,0.3523823359019435,1.8156404062170803,-0.1665998047597863,-1.1156783312449614,0.6852485342960928,1.5675692099296168,-1.4258325669758227
-0.040030525164528985,1.1447153068187843,0.3527674655098179,1.8159174835716847,-0.16582255352100372,-1.114462842417833,0.6860569952456551,1.5675003646328718,-1.427426340078885
-0.03871989268770237,1.1430033801149753,0.35315066804162915,1.8161930901664531,-0.16504934827046747,-1.1132536514861593,0.6868613305954501,1.5674319837882402,-1.4290122133636967
-0.037416145241867094,1.1413054331420325,0.3535319882718322,1.8164672958624777,-0.16428013710870992,-1.112050926916486,0.6876615025031764,1.5673640453342466,-1.4305896268384644
-0.036119285457740125,1.13962126947932,0.3539114220864374,1.8167396995858687,-0.16351491736314616,-1.1108543615566184,0.6884575684473583,1.5672960606407558,-1.4321589823441652
-0.034829310697297,1.1379511696527624,0.3542889188052115,1.8170108545469064,-0.16275368648813915,-1.1096636628440906,0.6892494896529738,1.5672284995207237,-1.4337201950177492
-0.033546221253518915,1.1362944656301426,0.35466452367854856,1.8172803524452223,-0.16199644205896968,-1.1084794873463146,0.690037275948473,1.5671613418544115,-1.4352731840271618
-0.03227001740547042,1.1346509887273537,0.3550382330457907,1.8175487396078758,-0.16124318176609242,-1.1073015252105898,0.690820936695454,1.567094568477767,-1.4368183399964511
-0.031000694742794987,1.1330210458893644,0.35541004342016136,1.817815601178231,-0.16049390340966574,-1.1061294813022184,0.6916004340491814,1.5670281611370314,-1.4383550997618626
-0.02973825841695943,1.131404461864677,0.3557799514805059,1.8180810096219215,-0.15974860489434028,-1.1049640097385622,0.6923758254858606,1.5669621024454987,-1.43988386214308
-0.028482708658569944,1.1298006021096596,0.35614790730176643,1.8183450339624643,-0.159007330985954,-1.1038043307166667,0.6931470722282613,1.5668963758423322,-1.4414045393992727
-0.027234083096605355,1.1282097974546637,0.35651395685364146,1.8186077399447589,-0.15827003080065127,-1.1026511043239589,0.6939141841027296,1.5668314331699145,-1.4429170479572988
-0.025992380163341933,1.1266318953990182,0.3568780971606107,1.8188687225742415,-0.15753674939487583,-1.1015040240605523,0.6946771704688602,1.5667667695749548,-1.444421308213741
-0.024757598365522604,1.1250667506858347,0.35724032538849115,1.8191285313267511,-0.1568074829232322,-1.1003632656018856,0.695435993480009,1.5667023718012736,-1.445917244346344
-0.02352973628081978,1.1235142249579264,0.3576006388377234,1.8193867543448636,-0.1560822277229813,-1.0992285286622334,0.6961906638489053,1.5666382272223605,-1.44740478413441
-0.02230878787830104,1.121974186430073,0.35795898817531924,1.8196434669509631,-0.15536093354370606,-1.0981004624526034,0.6969412385410821,1.566574323811464,-1.4488843264043045
-0.02109475208966871,1.120446509576852,0.3583154199349233,1.81989874088962,-0.1546436460452002,-1.0969782824967391,0.6976876782928936,1.5665111177296833,-1.4503557834215606
-0.01988762789736942,1.1189310748352992,0.3586699316781741,1.8201526444975378,-0.15393036195675946,-1.0958626444307473,0.6984299457057167,1.5664481082373056,-1.451819071619098
-0.018687409656017895,1.1174277683216902,0.35902252108253246,1.8204052428654265,-0.15322103140137977,-1.0947527698982786,0.6991680986806794,1.5663857536129142,-1.453274111399273
-0.017494096664550263,1.1159369491783584,0.35937318593577966,1.8206561303756077,-0.15251570039453077,-1.0936493203646516,0.69990209884529,1.5663235551336994,-1.4547212945619106
-0.016307683579037446,1.1144580242552158,0.3597219241307774,1.820905855910402,-0.15181436600428955,-1.092551990642421,0.700632003173066,1.5662615053827655,-1.456160059063183
-0.015128212071044977,1.1129908961933836,0.3600687336604765,1.8211540070470607,-0.15111702543799932,-1.091460957657126,0.7013577256463089,1.5662000649120995,-1.4575908047895048
-0.013955670394915298,1.11153547225853,0.3604136126131625,1.8214006585694948,-0.15042367603565443,-1.090376389930342,0.702079324618135,1.5661387371643083,-1.4590134450161063
-0.01279005671524125,1.1100916641212035,0.3607565591679276,1.8216458817093804,-0.1497343152635997,-1.0892979803622904,0.7027967621465714,1.5660779844016355,-1.4604274295210633
-0.011631364607631589,1.108659387647602,0.3610975715903568,1.821889744314888,-0.14904894070852848,-1.0882259040570113,0.703510048853547,1.566017779312288,-1.4618336370677343
-0.01047958795285342,1.1072390303168596,0.3614366482284202,1.822132311011401,-0.14836759683342415,-1.0871598601845232,0.7042191948564489,1.5659576282652028,-1.4632315018284774
-0.00933472559850368,1.1058300259696898,0.36177374074690094,1.822373175738016,-0.14769023246596247,-1.0861000298208485,0.7049242097920887,1.5658979963099526,-1.464621420085624
-0.00819676709458661,1.1044323029559537,0.3621088966298212,1.8226128869548837,-0.14701684562616246,-1.0850465854408993,0.7056251028395291,1.5658388587896752,-1.4660028340649345
-0.0070657118398129715,1.1030457930288935,0.36244211434405404,1.8228510318371365,-0.14634743442809228,-1.0839992237104483,0.7063218359801694,1.5657797246021292,-1.467376147719606
-0.005941554585288555,1.1016699635668918,0.36277339242929607,1.8230876847856692,-0.14568199707540197,-1.082958123320225,0.7070144197629505,1.5657210612055898,-1.4687412781984783
-0.00482429033144216,1.1003052424810194,0.3631027762562663,1.8233229166673328,-0.1450205318570681,-1.0819229868565683,0.7077029109973968,1.5656628462374849,-1.4700981465858218
-0.0037139517255084797,1.0989515697399899,0.3634301687556005,1.823556794982804,-0.14436308390499886,-1.0808939986495467,0.7083872235096058,1.565605058397463,-1.4714471453309843
