@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
--- 第6个点: x: -0.000399986 , y: -0.0311492 , theta: -0.01025
--- 第7个点: x: -0.000418353 , y: -0.0325795 , theta: -0.0107207
--- 第8个点: x: -0.00043672 , y: -0.0340099 , theta: -0.0111913
--- 第9个点: x: -0.000455086 , y: -0.0354402 , theta: -0.011662
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000308153 , y: -0.0239976 , theta: -0.00789668
--- 第1个点: x: -0.00032652 , y: -0.0254279 , theta: -0.00836735
--- 第2个点: x: -0.000344886 , y: -0.0268582 , theta: -0.00883802
--- 第3个点: x: -0.000363252 , y: -0.0282885 , theta: -0.00930869
--- 第4个点: x: -0.000381619 , y: -0.0297189 , theta: -0.00977935
--- 第5个点: x: -0.000399986 , y: -0.0311492 , theta: -0.01025
--- 第6个点: x: -0.000418353 , y: -0.0325795 , theta: -0.0107207
--- 第7个点: x: -0.00043672 , y: -0.0340099 , theta: -0.0111913
--- 第8个点: x: -0.000455086 , y: -0.0354402 , theta: -0.011662
--- 第9个点: x: -0.000473453 , y: -0.0368705 , theta: -0.0121327
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.00032652 , y: -0.0254279 , theta: -0.00836735
--- 第1个点: x: -0.000344886 , y: -0.0268582 , theta: -0.00883802
--- 第2个点: x: -0.000363252 , y: -0.0282885 , theta: -0.00930869
--- 第3个点: x: -0.000381619 , y: -0.0297189 , theta: -0.00977935
--- 第4个点: x: -0.000399986 , y: -0.0311492 , theta: -0.01025
--- 第5个点: x: -0.000418353 , y: -0.0325795 , theta: -0.0107207
--- 第6个点: x: -0.00043672 , y: -0.0340099 , theta: -0.0111913
--- 第7个点: x: -0.000455086 , y: -0.0354402 , theta: -0.011662
--- 第8个点: x: -0.000473453 , y: -0.0368705 , theta: -0.0121327
--- 第9个点: x: -0.00049182 , y: -0.0383009 , theta: -0.0126033
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000344886 , y: -0.0268582 , theta: -0.00883802
--- 第1个点: x: -0.000363252 , y: -0.0282885 , theta: -0.00930869
--- 第2个点: x: -0.000381619 , y: -0.0297189 , theta: -0.00977935
--- 第3个点: x: -0.000399986 , y: -0.0311492 , theta: -0.01025
--- 第4个点: x: -0.000418353 , y: -0.0325795 , theta: -0.0107207
--- 第5个点: x: -0.00043672 , y: -0.0340099 , theta: -0.0111913
--- 第6个点: x: -0.000455086 , y: -0.0354402 , theta: -0.011662
--- 第7个点: x: -0.000473453 , y: -0.0368705 , theta: -0.0121327
